laplace_correction,estimation_mode,bandwidth_selection,bandwidth,minimum_bandwidth,number_of_kernels,use_application_grid,application_grid_size,PREC_AT_99_REC
false,greedy,heuristic,0.001,0.1,1000,true,100,0.781
true,greedy,heuristic,0.001,0.001,1000,true,100,0.5015
false,greedy,heuristic,0.001,0.001,1000,true,100,0.7998
true,greedy,heuristic,0.001,1,1000,true,100,0.0921
false,greedy,heuristic,0.001,1,1000,true,100,0.0921
true,greedy,heuristic,0.001,5,1000,true,100,0.0772
false,greedy,heuristic,0.001,5,1000,true,100,0.0772
true,greedy,heuristic,0.001,10,1000,true,100,0.0495
false,greedy,heuristic,0.001,10,1000,true,100,0.0495
true,greedy,heuristic,0.001,20,1000,true,100,0.0242
false,greedy,heuristic,0.001,20,1000,true,100,0.0354
true,greedy,heuristic,0.001,50,1000,true,100,0.0439
false,greedy,heuristic,0.001,50,1000,true,100,0.0568
true,greedy,heuristic,0.001,100,1000,true,100,0.1394
false,greedy,heuristic,0.001,100,1000,true,100,0.1394
true,greedy,heuristic,0.001,500,1000,true,100,0.1562
false,greedy,heuristic,0.001,500,1000,true,100,0.1852
true,greedy,heuristic,0.001,1000,1000,true,100,0.3335
false,greedy,heuristic,0.001,1000,1000,true,100,0.3335
true,greedy,heuristic,0.001,0.1,1,true,200,0.6472
false,greedy,heuristic,0.001,0.1,1,true,200,0.5546
true,greedy,heuristic,0.001,0.001,1,true,200,0.6455
false,greedy,heuristic,0.001,0.001,1,true,200,0.4653
true,greedy,heuristic,0.001,1,1,true,200,0.2584
false,greedy,heuristic,0.001,1,1,true,200,0.3165
true,greedy,heuristic,0.001,5,1,true,200,0.1006
false,greedy,heuristic,0.001,5,1,true,200,0.1113
true,greedy,heuristic,0.001,10,1,true,200,0.2371
false,greedy,heuristic,0.001,10,1,true,200,0.0386
